number to factorise;first factor;second factor
1099629069023;1048681;1048583
2199179494321;1048583;2097287
2199210951811;1048583;2097317
4398173389451;1048583;4194397
4398185972447;1048583;4194409
8796182151371;1048583;8388637
17592382128653;1048583;16777291
35184679322083;1048583;33554501
35184775791719;1048583;33554593
70369265320279;1048583;67108913
70369286291939;1048583;67108933
70369380664409;1048583;67109023
140738458288331;1048583;134217757
281476858904597;1048583;268435459
281476940694071;1048583;268435537
281477039260873;1048583;268435631
562953752412433;1048583;536870951
562953867756563;1048583;536871061
562953897116887;1048583;536871089
1125907493290453;1048583;1073741891
1125907512164947;1048583;1073741909
2251815065224631;1048583;2147483857
4503629770785293;1048583;4294967371
4503629787562621;1048583;4294967387
9007259425177873;1048583;8589934631
18014518928999471;1048583;17179869337
18014519004497447;1048583;17179869409
36029037647233759;1048583;34359738473
72058075106771161;1048583;68719476767
72058075196949299;1048583;68719476853
72058075247281283;1048583;68719476901
72058075297613267;1048583;68719476949
144116150342518031;1048583;137438953657
288232300556060353;1048583;274877907191
576464600756651069;1048583;549755814043
1152929201216553149;1048583;1099511627803
2199385028447;1048681;2097287
2199416488877;1048681;2097317
4398584440357;1048681;4194397
4398597024529;1048681;4194409
8797004237797;1048681;8388637
17594026303171;1048681;16777291
35187967663181;1048681;33554501
35188064141833;1048681;33554593
70375841993753;1048681;67108913
70375862967373;1048681;67108933
70375957348663;1048681;67109023
140751611628517;1048681;134217757
281503165579579;1048681;268435459
281503247376697;1048681;268435537
281503345952711;1048681;268435631
563006365765631;1048681;536870951
563006481120541;1048681;536871061
563006510483609;1048681;536871089
1126012719995771;1048681;1073741891
1126012738872029;1048681;1073741909
2252025518642617;1048681;2147483857
4504050677587651;1048681;4294967371
4504050694366547;1048681;4294967387
9008101238771711;1048681;8589934631
18016202556194497;1048681;17179869337
18016202631699529;1048681;17179869409
36032404901604113;1048681;34359738473
72064809615494327;1048681;68719476767
72064809705680893;1048681;68719476853
72064809756017581;1048681;68719476901
72064809806354269;1048681;68719476949
144129619359976417;1048681;137438953657
288259238590965071;1048681;274877907191
576518476826427283;1048681;549755814043
1153036953356077843;1048681;1099511627803
4398675678979;2097287;2097317
8796854300939;4194397;2097287
8796879468383;4194409;2097287
17593379327819;2097287;8388637
35186794309517;2097287;16777291
70373418738787;2097287;33554501
